,Torneo,Jornada,Fecha,Dia,Hora,Equipo1,Goles_Eq1,Goles_Eq2,Equipo2
1,2022_2023_Ap,1,2022-07-01,Viernes,20:05,Mazatlan,2,4,Puebla
2,2022_2023_Ap,1,2022-07-02,Sabado,17:00,Necaxa,1,3,Toluca
3,2022_2023_Ap,1,2022-07-02,Sabado,17:05,Chivas,0,0,Juarez
4,2022_2023_Ap,1,2022-07-02,Sabado,19:05,Tigres,2,3,Cruz Azul
5,2022_2023_Ap,1,2022-07-02,Sabado,21:05,America,0,0,Atlas
6,2022_2023_Ap,1,2022-07-03,Domingo,12:00,Pumas,1,1,Xolos
7,2022_2023_Ap,1,2022-07-03,Domingo,17:00,San Luis,1,2,Leon
8,2022_2023_Ap,1,2022-07-03,Domingo,19:05,Santos,4,3,Monterrey
9,2022_2023_Ap,1,2022-07-04,Lunes,21:00,Pachuca,2,0,Queretaro
10,2022_2023_Ap,2,2022-07-08,Viernes,18:00,Mazatlan,0,1,Tigres
11,2022_2023_Ap,2,2022-07-08,Viernes,21:05,Puebla,1,0,Santos
12,2022_2023_Ap,2,2022-07-08,Viernes,19:05,Xolos,0,2,Juarez
13,2022_2023_Ap,2,2022-07-09,Sabado,19:00,Leon,3,3,Pumas
14,2022_2023_Ap,2,2022-07-09,Sabado,19:05,Chivas,0,1,San Luis
15,2022_2023_Ap,2,2022-07-09,Sabado,21:05,Cruz Azul,1,2,Pachuca
16,2022_2023_Ap,2,2022-07-09,Sabado,21:05,Monterrey,3,2,America
17,2022_2023_Ap,2,2022-07-10,Domingo,12:00,Toluca,3,2,Atlas
18,2022_2023_Ap,2,2022-07-10,Domingo,17:00,Queretaro,1,2,Necaxa
19,2022_2023_Ap,3,2022-07-13,Miercoles,21:00,America,1,0,Toluca
20,2022_2023_Ap,3,2022-07-15,Viernes,19:00,Puebla,1,1,Leon
21,2022_2023_Ap,3,2022-07-15,Viernes,20:05,Juarez,1,1,Queretaro
22,2022_2023_Ap,3,2022-07-16,Sabado,17:00,Atlas,3,2,Cruz Azul
23,2022_2023_Ap,3,2022-07-16,Sabado,19:05,Santos,1,1,Chivas
24,2022_2023_Ap,3,2022-07-17,Domingo,12:00,Pumas,1,0,Necaxa
25,2022_2023_Ap,3,2022-07-17,Domingo,17:00,San Luis,0,1,Monterrey
26,2022_2023_Ap,3,2022-07-17,Domingo,19:00,Tigres,1,0,Xolos
27,2022_2023_Ap,3,2022-07-18,Lunes,19:00,Pachuca,1,1,Mazatlan
28,2022_2023_Ap,4,2022-07-20,Miercoles,21:05,Chivas,0,0,Leon
29,2022_2023_Ap,4,2022-07-21,Jueves,21:00,Queretaro,0,3,Monterrey
30,2022_2023_Ap,4,2022-07-22,Viernes,18:00,Mazatlan,1,1,San Luis
31,2022_2023_Ap,4,2022-07-22,Viernes,21:05,Necaxa,1,0,Juarez
32,2022_2023_Ap,4,2022-07-23,Sabado,17:00,Toluca,2,1,Santos
